"Tabela 1.1.25.1 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.25.2 - Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,"Tabela 1.1.25.3 - Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,,,,
,Total,Grupos de idade,,,,,,,,,Total,Grupos de idade,,,,,,,,,Total,Grupos de idade,,,,,,,
,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais,,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais,,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais
Brasil,102083.09,10959.903,14395.17,12577.618,11652.893,22105.96,15558.684,9715.376,5117.486,Brasil,100,10.7,14.1,12.3,11.4,21.7,15.2,9.5,5,Brasil,57.5,69.1,82.4,80.7,76.3,69,55.3,40.7,17.4
Norte,6715.311,774.673,1170.043,978.154,867.002,1475.15,867.18,430.1,153.009,Norte,100,11.5,17.4,14.6,12.9,22,12.9,6.4,2.3,Norte,46.2,45.8,67.5,66.4,62.2,53.5,40.6,27.2,8.6
Rondônia,710.57,87.531,119.691,97.529,90.237,155.9,94.295,51.341,14.046,Rondônia,100,12.3,16.8,13.7,12.7,21.9,13.3,7.2,2,Rondônia,47.4,58.7,73,68.1,61.3,53.8,38.8,28.2,7.8
Acre,285.382,31.366,55.015,44.153,38.363,63.936,35.207,12.438,4.904,Acre,100,11,19.3,15.5,13.4,22.4,12.3,4.4,1.7,Acre,43.8,39.9,61.2,59.7,61.7,53.4,36.2,21.3,6.9
Amazonas,1596.758,176.089,254.505,249.303,199.846,351.174,216.112,111.319,38.41,Amazonas,100,11,15.9,15.6,12.5,22,13.5,7,2.4,Amazonas,49.6,43.3,65.9,67.1,63,56.9,48.8,34.1,11
Roraima,268.027,37.807,44.232,35.13,29.968,62.834,32.847,18.596,6.613,Roraima,100,14.1,16.5,13.1,11.2,23.4,12.3,6.9,2.5,Roraima,63.7,66.1,84.6,81.7,76.7,73.4,57,41.1,16.3
Pará,2962.659,327.824,538.196,418.863,403.292,646.857,379.635,176.425,71.567,Pará,100,11.1,18.2,14.1,13.6,21.8,12.8,6,2.4,Pará,43.3,41.9,64.9,63.9,61.6,50.8,37.1,23.6,8.2
Região Metropolitana de Belém,1227.217,110.901,164.63,162.769,157.498,296.469,185.375,97.074,52.501,Região Metropolitana de Belém,100,9,13.4,13.3,12.8,24.2,15.1,7.9,4.3,Região Metropolitana de Belém,63.8,67.3,85.7,86.7,84.4,77.8,58.7,41.6,20.1
Amapá,334.728,37.311,59.118,54.913,40.47,75.92,40.458,19.709,6.829,Amapá,100,11.1,17.7,16.4,12.1,22.7,12.1,5.9,2,Amapá,53.7,47.5,77.3,75.4,66.7,58.5,47.5,33.9,11.1
Tocantins,557.187,76.745,99.286,78.263,64.826,118.529,68.626,40.272,10.64,Tocantins,100,13.8,17.8,14,11.6,21.3,12.3,7.2,1.9,Tocantins,43.2,55.8,73.3,69,57,48.9,36.3,25,5.4
Nordeste,21831.084,2785.373,3862.103,3079.33,2705.732,4599.836,2723.73,1411.173,663.807,Nordeste,100,12.8,17.7,14.1,12.4,21.1,12.5,6.5,3,Nordeste,45.1,55.3,73,69.9,62.6,52.8,37.4,24.5,8.8
Maranhão,1940.697,244.268,398.359,296.901,277.334,387.842,208.961,88.694,38.338,Maranhão,100,12.6,20.5,15.3,14.3,20,10.8,4.6,2,Maranhão,34.3,33.4,56.9,55.5,49.8,38.2,28,15.1,4.9
Piauí,1061,138.454,217.276,171.105,132.275,230.782,106.374,46.72,18.014,Piauí,100,13,20.5,16.1,12.5,21.8,10,4.4,1.7,Piauí,38.8,44.6,71,67.3,57.2,44.9,26.1,14.4,4.6
Ceará,3331.027,414.237,609.801,519.883,432.697,694.778,378.802,194.739,86.09,Ceará,100,12.4,18.3,15.6,13,20.9,11.4,5.8,2.6,Ceará,43.4,57.8,74.4,69.3,59.9,51.2,33.7,22.8,6.5
Região Metropolitana de Fortaleza,1950.387,224.339,290.854,283.784,261.851,424.967,261.491,140.473,62.628,Região Metropolitana de Fortaleza,100,11.5,14.9,14.6,13.4,21.8,13.4,7.2,3.2,Região Metropolitana de Fortaleza,58.3,73.9,84.7,81.8,79.1,67.9,49.5,36.2,13.1
Rio Grande do Norte,1570.481,209.816,254.334,233.142,207.003,320.033,192.866,103.131,50.156,Rio Grande do Norte,100,13.4,16.2,14.8,13.2,20.4,12.3,6.6,3.2,Rio Grande do Norte,52.8,71.9,83.9,79.1,72.2,60.5,41.4,28.1,11.5
Paraíba,1738.3,232.08,275.382,252.758,224.311,347.149,210.093,137.696,58.831,Paraíba,100,13.4,15.8,14.5,12.9,20,12.1,7.9,3.4,Paraíba,51,67.7,80.7,78.7,74.3,57.1,39.2,32.4,11
Pernambuco,3710.885,485.413,642.486,488.886,437.014,750.207,505.61,262.637,138.632,Pernambuco,100,13.1,17.3,13.2,11.8,20.2,13.6,7.1,3.7,Pernambuco,45.8,61,74,69.9,62.8,53.5,40.1,26.5,10
Região Metropolitana de Recife,2080,235.399,300.909,255.782,236.228,450.956,309.462,184.175,107.089,Região Metropolitana de Recife,100,11.3,14.5,12.3,11.4,21.7,14.9,8.9,5.1,Região Metropolitana de Recife,60.2,82.1,89.7,86.2,83.3,74.7,56.1,38.8,17.2
Alagoas,1175.405,152.278,220.236,170.514,134.65,243.507,149.758,71.735,32.727,Alagoas,100,13,18.7,14.5,11.5,20.7,12.7,6.1,2.8,Alagoas,41.3,49.4,68.5,66.3,56.3,48.1,34.2,20.4,7.6
Sergipe,982.846,126.482,173.023,141.502,120.984,200.889,120.254,67.083,32.629,Sergipe,100,12.9,17.6,14.4,12.3,20.4,12.2,6.8,3.3,Sergipe,51.2,62.8,77.4,76,67.4,55.8,43.2,29.6,12.3
Bahia,6320.443,782.345,1071.206,804.639,739.464,1424.649,851.012,438.738,208.39,Bahia,100,12.4,16.9,12.7,11.7,22.5,13.5,6.9,3.3,Bahia,48.3,58.3,76,72.9,66.5,58.7,42.2,26.7,10.3
Região Metropolitana de Salvador,2468.34,234.496,309.428,281.871,282.548,601.713,401.152,238.879,118.253,Região Metropolitana de Salvador,100,9.5,12.5,11.4,11.4,24.4,16.3,9.7,4.8,Região Metropolitana de Salvador,71,82.8,92.6,91.8,90.3,84,67.8,51,25.5
Sudeste,49246.983,4836.459,6188.293,5588.119,5361.246,10702.7,8070.089,5425.893,3074.184,Sudeste,100,9.8,12.6,11.3,10.9,21.7,16.4,11,6.2,Sudeste,65.1,81.6,89.9,88.4,85.4,78.8,65.6,50,22.8
Minas Gerais,10332.092,1149.624,1492.888,1319.815,1180.551,2271.035,1554.052,918.629,445.498,Minas Gerais,100,11.1,14.4,12.8,11.4,22,15,8.9,4.3,Minas Gerais,56.2,75,84.7,83.8,77,69.1,52,36.1,14.1
Região Metropolitana de Belo Horizonte,3175.428,309.513,401.945,401.514,366.013,696.152,514.198,306.175,179.918,Região Metropolitana de Belo Horizonte,100,9.7,12.7,12.6,11.5,21.9,16.2,9.6,5.7,Região Metropolitana de Belo Horizonte,68.6,84.2,93.3,91.6,88.1,81.2,68,48.8,24.6
Espírito Santo,2004.128,208.099,268.653,224.888,235.064,461.138,303.452,200.29,102.544,Espírito Santo,100,10.4,13.4,11.2,11.7,23,15.1,10,5.1,Espírito Santo,58.5,70.8,87.8,86.4,78.6,72.5,53.9,41.4,17.5
Rio de Janeiro,9707.466,882.659,1194.544,1050.197,955.06,2097.07,1560.721,1187.018,780.197,Rio de Janeiro,100,9.1,12.3,10.8,9.8,21.6,16.1,12.2,8,Rio de Janeiro,66.3,81.2,90.9,89.9,86,80.5,69.6,53.7,26.8
Região Metropolitana do Rio de Janeiro,7529.582,671.527,891.31,806.821,726.155,1652.417,1213.411,919.305,648.636,Região Metropolitana do Rio de Janeiro,100,8.9,11.8,10.7,9.6,21.9,16.1,12.2,8.6,Região Metropolitana do Rio de Janeiro,69.9,85.9,92.5,92.2,89.7,84.9,73.1,57.9,30.2
São Paulo,27203.297,2596.077,3232.208,2993.219,2990.571,5873.457,4651.864,3119.956,1745.945,São Paulo,100,9.5,11.9,11,11,21.6,17.1,11.5,6.4,São Paulo,69.5,86.1,92.3,90.3,89.8,83.3,71.5,55.6,25.6
Região Metropolitana de São Paulo,13592.382,1232.228,1654.832,1420.428,1493.547,2932.239,2356.979,1599.978,902.151,Região Metropolitana de São Paulo,100,9.1,12.2,10.5,11,21.6,17.3,11.8,6.6,Região Metropolitana de São Paulo,73.1,86,93.6,92.4,92,87.1,75.7,60.3,29
Sul,15758.972,1597.468,2037.427,1872.02,1712.573,3390.198,2557.636,1718.348,873.302,Sul,100,10.1,12.9,11.9,10.9,21.5,16.2,10.9,5.5,Sul,61.1,80.1,89.2,86.4,82.5,76.9,61,43.2,18.7
Paraná,5897.03,598.483,801.408,730.264,681.144,1244.346,934.149,619.44,287.796,Paraná,100,10.1,13.6,12.4,11.6,21.1,15.8,10.5,4.9,Paraná,60.5,77.6,87.3,85.7,80.8,74.2,58.5,42.7,17.6
Região Metropolitana de Curitiba,2065.537,195.461,242.534,220.437,225.699,445.67,361.154,254.039,120.543,Região Metropolitana de Curitiba,100,9.5,11.7,10.7,10.9,21.6,17.5,12.3,5.8,Região Metropolitana de Curitiba,68.2,81.9,86.6,88.4,86.2,81.7,70.7,54.8,25.1
Santa Catarina,3767.691,361.873,475.804,419.901,406.993,839.105,657.103,404.849,202.063,Santa Catarina,100,9.6,12.6,11.1,10.8,22.3,17.4,10.7,5.4,Santa Catarina,62.3,80.7,88.4,86.6,81.6,77.6,64.7,43.1,19.4
Rio Grande do Sul,6094.251,637.112,760.215,721.855,624.436,1306.747,966.384,694.059,383.443,Rio Grande do Sul,100,10.5,12.5,11.8,10.2,21.4,15.9,11.4,6.3,Rio Grande do Sul,61.1,82.4,91.8,87.1,85.2,79.2,61.2,43.7,19.2
Região Metropolitana de Porto Alegre,2610.59,252.651,307.506,277.947,261.995,564.956,419.035,326.474,200.026,Região Metropolitana de Porto Alegre,100,9.7,11.8,10.6,10,21.6,16.1,12.5,7.7,Região Metropolitana de Porto Alegre,70.1,85,92.5,92.6,89.9,86.6,71.8,55.2,29.7
Centro-Oeste,8530.74,965.93,1137.304,1059.995,1006.34,1938.076,1340.049,729.862,353.184,Centro-Oeste,100,11.3,13.3,12.4,11.8,22.7,15.7,8.6,4.1,Centro-Oeste,64,79.6,88.6,86.3,83.5,75.3,59.7,42.8,18.7
Mato Grosso do Sul,1455.931,174.093,189.988,193.076,169.673,311.977,224.467,125.056,67.601,Mato Grosso do Sul,100,12,13,13.3,11.7,21.4,15.4,8.6,4.6,Mato Grosso do Sul,63.7,84.2,89.4,86.9,85,77.3,58.4,41.7,19.1
Mato Grosso,1526.026,184.354,221.561,181.283,196.178,352.066,231.193,118.665,40.726,Mato Grosso,100,12.1,14.5,11.9,12.9,23.1,15.2,7.8,2.7,Mato Grosso,55.2,71.4,81.1,74.1,73.6,64.8,50.3,34.3,10.9
Goiás,3541.957,417.305,478.787,464.324,425.003,804.799,547.521,279.426,124.792,Goiás,100,11.8,13.5,13.1,12,22.7,15.5,7.9,3.5,Goiás,61.8,79.1,88.8,88.4,83.9,73.8,56.1,37.7,15.1
Distrito Federal,2006.826,190.178,246.968,221.312,215.486,469.234,336.868,206.715,120.065,Distrito Federal,100,9.5,12.3,11,10.7,23.4,16.8,10.3,6,Distrito Federal,78.4,86.4,95.4,93.9,92.5,87.6,79.2,65,36.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
